State,Year,Median Price
VA,2000,130500
VA,2000,135153
VA,2000,138406
VA,2000,140137
VA,2001,144081
VA,2001,149283
VA,2001,153201
VA,2001,154856
VA,2002,158742
VA,2002,165549
VA,2002,169975
VA,2002,172873
VA,2003,177617
VA,2003,184507
VA,2003,189655
VA,2003,194888
VA,2004,200959
VA,2004,211269
VA,2004,221699
VA,2004,228856
VA,2005,239477
VA,2005,254984
VA,2005,265948
VA,2005,270579
VA,2006,274515
VA,2006,280750
VA,2006,278534
VA,2006,277679
VA,2007,274254
VA,2007,274114
VA,2007,268595
VA,2007,259288
VA,2008,247705
VA,2008,244567
VA,2008,235929
VA,2008,224110
VA,2009,219148
VA,2009,222997
VA,2009,225960
VA,2009,228420
VA,2010,222720
VA,2010,229420
TX,2000,96405
TX,2000,98544
TX,2000,100137
TX,2000,101226
TX,2001,102129
TX,2001,104236
TX,2001,105416
TX,2001,105793
TX,2002,106483
TX,2002,108474
TX,2002,109236
TX,2002,109557
TX,2003,110197
TX,2003,111297
TX,2003,111592
TX,2003,112022
TX,2004,111904
TX,2004,114207
TX,2004,115030
TX,2004,115674
TX,2005,116246
TX,2005,118912
TX,2005,120766
TX,2005,122021
TX,2006,124078
TX,2006,126529
TX,2006,128055
TX,2006,128994
TX,2007,130603
TX,2007,133741
TX,2007,134501
TX,2007,132770
TX,2008,132281
TX,2008,133250
TX,2008,134055
TX,2008,129392
TX,2009,128510
TX,2009,132038
TX,2009,133542
TX,2009,132889
TX,2010,131764
TX,2010,134854
UT,2000,133909
UT,2000,135466
UT,2000,136363
UT,2000,136571
UT,2001,137056
UT,2001,138713
UT,2001,138874
UT,2001,139017
UT,2002,138624
UT,2002,140051
UT,2002,140773
UT,2002,141457
UT,2003,140744
UT,2003,143069
UT,2003,144443
UT,2003,144478
UT,2004,145328
UT,2004,150820
UT,2004,153468
UT,2004,155806
UT,2005,160194
UT,2005,166726
UT,2005,175045
UT,2005,181395
UT,2006,188459
UT,2006,198849
UT,2006,207740
UT,2006,216938
UT,2007,221858
UT,2007,231897
UT,2007,234372
UT,2007,229554
UT,2008,227254
UT,2008,226009
UT,2008,222758
UT,2008,211593
UT,2009,203729
UT,2009,202054
UT,2009,199920
UT,2009,196381
UT,2010,188542
UT,2010,194147
CA,2000,211595
CA,2000,223084
CA,2000,229931
CA,2000,237466
CA,2001,244646
CA,2001,249987
CA,2001,254421
CA,2001,255572
CA,2002,262824
CA,2002,277744
CA,2002,289038
CA,2002,296140
CA,2003,303065
CA,2003,317058
CA,2003,332306
CA,2003,347305
CA,2004,366422
CA,2004,395096
CA,2004,418315
CA,2004,433090
CA,2005,452599
CA,2005,479196
CA,2005,501917
CA,2005,512649
CA,2006,519231
CA,2006,525761
CA,2006,522192
CA,2006,512842
CA,2007,503230
CA,2007,494765
CA,2007,475656
CA,2007,442517
CA,2008,405886
CA,2008,384753
CA,2008,361489
CA,2008,333896
CA,2009,311624
CA,2009,310985
CA,2009,318326
CA,2009,321117
CA,2010,319578
CA,2010,330037
